,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ,Exit_λ
152,11,325,325,258.0799865722656,258.65840698242187,243.73580657958985,258.65840698242187,-5.005620146484475,11.368244658203125,-0.0017632377581736289,2025-03-24 00:00:00-04:00,2025-03-24 00:00:00-04:00,0 days 00:00:00,,240.47650604248048,240.47650604248048
153,10,326,326,283.6000061035156,272.82221435546876,272.82221435546876,289.525615234375,-118.90636188964835,11.12844440917969,-0.04192748918568314,2025-03-25 00:00:00-04:00,2025-03-25 00:00:00-04:00,0 days 00:00:00,,266.11949920654297,266.11949920654297
154,-10,328,328,272.4800109863281,277.50119750976563,277.50119750976563,261.17759765625,-61.21148940429694,10.999624169921876,-0.022464579762281445,2025-03-27 00:00:00-04:00,2025-03-27 00:00:00-04:00,0 days 00:00:00,,261.9455062866211,261.9455062866211
155,13,331,331,263.79998779296875,264.9735710144043,254.7534799758911,264.9735710144043,1.5084693496702624,13.7481125289917,0.0004398639468924208,2025-04-01 00:00:00-04:00,2025-04-01 00:00:00-04:00,0 days 00:00:00,,249.70000534057618,249.70000534057618
156,11,333,333,265.2900085449219,265.2900085449219,,294.07041015625,-11.672760375976562,11.672760375976562,-0.004,2025-04-03 00:00:00-04:00,2025-04-03 00:00:00-04:00,0 days 00:00:00,,264.2140174865723,264.2140174865723
157,-13,335,335,223.77999877929688,244.21859252929687,244.21859252929687,229.85279296875,-277.86968212402337,12.167963374023438,-0.09551609191712392,2025-04-07 00:00:00-04:00,2025-04-07 00:00:00-04:00,0 days 00:00:00,,225.67999267578125,225.67999267578125
158,10,338,338,260.0,260.0,,283.0880126953125,-10.4,10.4,-0.004,2025-04-10 00:00:00-04:00,2025-04-10 00:00:00-04:00,0 days 00:00:00,,244.2545135498047,244.2545135498047
159,-11,343,344,243.47000122070312,230.25999450683594,246.38100311279297,231.8880029296875,134.8880139465332,10.42205990600586,0.05036573976642094,2025-04-17 00:00:00-04:00,2025-04-21 00:00:00-04:00,4 days 00:00:00,,231.60600204467772,237.70699310302734
160,-12,345,345,230.9600067138672,232.05,232.05,218.39999999999998,-24.1921595947267,11.112240161132814,-0.008728841535141552,2025-04-22 00:00:00-04:00,2025-04-22 00:00:00-04:00,0 days 00:00:00,,222.3189926147461,222.3189926147461
161,11,346,346,254.86000061035156,254.86000061035156,233.21060119628905,247.48880126953128,-11.213840026855468,11.213840026855468,-0.004,2025-04-23 00:00:00-04:00,2025-04-23 00:00:00-04:00,0 days 00:00:00,,230.85300827026367,230.85300827026367
